Latitude,Longitude,Slope_P,Mean,Slope_Mean,ai_v3,Tree_Speci,site
33.440325,108.654847,0.727272727,1.08866574,0.005646901,0.776921,CHPN,chn088
35.554255,108.905503,0.25,0.960634284,-0.003993917,0.459964,CHPN,chn089
36.768,-5.41583,0.5,0.915006218,-0.002493125,0.572745,ABPN,spai074
41.115,-74.42,0.777777778,1.328090551,0.002253675,1.21966,CHTH,nj011
41.206,-74.326,0.230769231,1.11729853,-0.002928851,1.20407,CHTH,nj010
41.365,-72.65,0.571428571,1.1436814,0.001405221,1.08084,CHTH,ct003
41.856,-111.503,0.642857143,0.96130217,0.002637872,0.361686,PCEN,ut555
42.526,-71.948,0.538461538,1.125496951,4.51E-05,1.13323,CHTH,ma035
46.47,-84.87,0.4,1.2181481,-0.000967384,0.945124,TSCA,mi009
46.88,-87.93,0.444444444,1.074553417,-0.000550435,0.867704,TSCA,mi025
46.88,-87.91,0.7,1.302486356,0.011121025,0.863036,TSCA,mi024
46.8833,6.5667,0.571428571,0.893417438,0.001086466,1.65499,PCAB,swit204
47.2931,7.4317,0.72,1.220857763,0.0082685,1.58912,PISY,swit241
47.2975,7.9597,0.888888889,1.124237272,0.00850424,1.41559,FASY,swit367
47.3333,7.9167,0.655172414,1.146958244,0.00526552,1.41147,FASY,swit200
47.4272,7.6881,0.333333333,1.044810692,0.002409239,1.41861,PISY,swit365
47.4753,7.9408,0.444444444,1.441876657,0.00780386,1.65477,FASY,swit322
47.5994,8.5214,0.4375,1.011970784,0.00169372,1.11712,PISY,swit234
49.5,94.5833,0.8,1.114474298,0.004377356,0.256382,LASI,mong023
49.6333,-116.45,0.5,1.187328944,0.000784378,1.09754,PIAL,cana402
49.7167,-115.5833,0.666666667,1.137514073,0.001588927,0.788233,PIAL,cana399
49.7833,-114.6333,0.4,1.17866633,0.001934974,0.863212,LALY,cana416
49.8667,91.4333,0.6,1.01393098,4.68E-05,0.254111,LASI,mong029
50.2,-115.2167,0.8,0.933774115,0.005714095,0.808716,PIAL,cana397
50.25,-116.9,0.6,1.115636929,0.006074832,1.1586,PIAL,cana400
50.5,-116.3333,0.666666667,1.024501806,0.002679146,1.26662,PIAL,cana398
50.53,-120.58,0.4,0.863107071,-0.002463813,0.726,PCEN,cana239
51.25,-117.52,0.714285714,1.547917913,0.00557576,2.18416,PCEN,cana223
51.6833,-116.5,0.8,1.58390213,0.008860223,1.26474,PIAL,cana356
52.2167,-117.2333,0.5,1.189072945,-0.001130933,0.984667,PCEN,cana430
55.31,-77.7,0.571428571,1.256531238,0.008645974,1.19697,PCGL,cana609
55.33,-3.5,0.333333333,1.39024695,0.002235339,2.19373,QURO,brit7
58.63,-134.931,0.6,1.341811423,0.002820192,1.88462,CHNO,ak192
59.1933,-129.6575,0.833333333,1.108162396,0.012302673,0.967393,ABLA,cana364
59.3194,-129.8394,0.6,1.335492656,0.009035932,1.03395,ABLA,cana374
59.3239,-129.4897,0.384615385,1.02012698,-0.000475102,0.924804,ABLA,cana367
59.5167,-133.5,0.714285714,1.012474582,0.003070957,0.803271,ABLA,cana365
59.6,-133.4,0.5,1.222402035,0.0012173,0.706125,ABLA,cana382
59.7167,-133.6667,0.714285714,1.04237864,0.002066676,0.555398,ABLA,cana379
60.1,-130.6667,0.571428571,1.032157248,0.000416636,0.809541,ABLA,cana377
60.1122,-134.3581,0.5,0.917127778,-0.000902187,0.542055,ABLA,cana384
60.1617,-129.9903,0.4,1.034109926,-0.000173792,0.806933,ABLA,cana376
60.525,-128.8444,0.6,1.074252424,-0.00101698,0.789097,ABLA,cana372
60.5678,-133.0836,0.777777778,1.258018266,0.004611649,0.532893,ABLA,cana375
60.5947,-135.0669,0.6,1.067170974,0.001289948,0.463755,ABLA,cana366
60.6492,-135.165,0.857142857,0.982761575,0.003296633,0.478605,ABLA,cana387
61.0333,-138.5,0.692307692,1.331508514,0.006062768,0.664397,PCGL,cana354
61.3667,-128.35,0.8,1.328554574,0.006478041,0.966136,ABLA,cana378
63.1,-150,0.416666667,1.003770121,0.003089315,1.14977,PCGL,ak054
63.12,-149,0.416666667,1.003770121,0.003089315,0.83297,PCGL,ak056
63.8333,-137.3833,0.444444444,1.179068933,-0.001651805,0.548501,ABLA,cana383
67.12,-150.08,0.615384615,1.176037255,0.001384614,0.548829,PCGL,ak048
67.15,-150.08,0.48,1.114485526,0.001264037,0.55646,PCGL,ak049
67.15,-149.13,0.8,1.18622023,0.007088116,0.578105,PCGL,ak050
70.3667,103.2667,0.6,1.273453515,0.00765682,0.65212,LAGM,russ217
72,102,0.666666667,0.889529465,0.003794669,0.68,LAGM,russ221
